Id,Date,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
us7000abxv,2017-07-20,5655,0,"TURKEY: BODRUM, DATCA; GREECE: KOS",36.929,27.414,7,6.6,7,2,500,32.0,22.9,0.0
usp000j8cv,2017-05-28,0,0,"TURKEY: MANISA: SARUHANLI, GOLMARMARA",38.764,27.778,3,4.9,0,0,0,24.7,16.3,0.2
us6000abnv,2020-02-23,0,0,TURKEY: VAN;  IRAN,38.482,44.367,10,6.0,0,10,60,3.1,8.3,0.0
us7000aavx,2020-03-18,0,0,UTAH,40.751,-112.078,12,5.7,6,0,0,15.4,14.0,1.1
usb000h6in,2011-07-19,0,0,"UZBEKISTAN:  FARGONA, VIOLYATI",40.081,71.41,20,6.1,0,14,86,21.2,10.8,0.0
usc000rrmg,2010-08-10,5222,0,VANUATU ISLANDS,-17.541,168.069,25,7.2,7,0,0,0.0,0.0,0.0
usp000hsnv,2010-12-25,5403,0,VANUATU ISLANDS,-19.702,167.947,16,7.3,0,0,4,0.0,0.0,0.0
usp000hdbr,2011-01-09,5419,0,VANUATU ISLANDS,-19.157,168.311,24,6.5,0,0,0,0.0,0.0,0.0
usp000hd84,2011-08-20,5437,0,VANUATU ISLANDS,-18.365,168.143,32,7.1,0,0,0,0.0,0.0,0.0
usp000hu8h,2011-08-20,5436,0,VANUATU ISLANDS,-18.311,168.218,28,7.0,0,0,0,0.0,0.0,0.0
us10002aip,2012-02-02,5442,0,VANUATU ISLANDS,-17.827,167.133,23,7.0,0,0,0,0.0,0.0,0.0
