Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Temp_C,Wind_ms,Precip_mm
,2011,7,6,19.0,3.0,18.2,5430.0,,NEW ZEALAND: KERMADEC ISLANDS,-29.539,-176.34,17.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,7,10,0.0,57.0,10.8,5431.0,,JAPAN:  HONSHU:  E COAST,38.034,143.264,23.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,7,19,19.0,35.0,43.4,,,"UZBEKISTAN:  FARGONA, VIOLYATI",40.081,71.41,20.0,6.1,,14.0,1.0,,,86.0,2.0,,1.0,,2.0,,,14.0,1.0,,,86.0,2.0,,1.0,,2.0,,,21.2,10.8,0.0
,2011,8,9,11.0,50.0,22.2,,,CHINA: YUNNAN PROVINCE: BAOSHAN,24.932,98.73,40.0,5.0,,,,,,,,,3.0,,,22823.0,4.0,,,,,3.0,1.0,,3.0,,,22823.0,4.0,24.4,4.7,7.4
,2011,8,11,10.0,6.0,29.3,,,"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",39.955,77.028,10.0,5.7,,,,,,21.0,1.0,,2.0,,,,,,,,,21.0,1.0,,2.0,,,,,23.1,17.2,1.4
,2011,8,20,16.0,55.0,2.8,5437.0,,VANUATU ISLANDS,-18.365,168.143,32.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,8,20,18.0,19.0,23.5,5436.0,,VANUATU ISLANDS,-18.311,168.218,28.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,8,23,5.0,46.0,18.2,,,COLORADO:  SEGUNDO,37.063,-104.701,4.0,5.4,7.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,30.0,11.3,0.3
,2011,8,23,17.0,51.0,4.5,,,"VIRGINIA:  LOUISA COUNTY, MARYLAND, WASHINGTON D.C.",37.936,-77.933,6.0,5.8,7.0,,,,,,,200.0,4.0,,,600.0,3.0,,,,,,,200.0,4.0,,,600.0,3.0,28.7,12.4,0.0
,2011,9,2,10.0,55.0,53.5,5438.0,,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,32.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,9,5,17.0,55.0,11.2,,,INDONESIA:  SUMATRA,2.965,97.893,91.0,6.7,,10.0,1.0,,,,,,1.0,,,,2.0,10.0,1.0,,,,,,1.0,,,,2.0,31.1,5.9,0.9
,2011,9,7,17.0,58.0,18.7,,,INDIA:  DELHI,28.724,77.189,10.0,4.3,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,31.8,9.2,10.4
,2011,9,18,12.0,40.0,51.8,,,INDIA:  SIKKIM,27.73,88.155,50.0,6.9,,111.0,3.0,,,177.0,3.0,22.3,3.0,6000.0,4.0,6000.0,4.0,111.0,3.0,,,177.0,3.0,22.3,3.0,,4.0,6000.0,4.0,-11.2,4.7,19.8
,2011,9,19,18.0,33.0,55.8,,,GUATEMALA:  CUILAPA SANTA ROSA,14.186,-90.238,9.0,5.6,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,24.3,6.6,8.8
,2011,10,20,17.0,18.0,34.1,,,INDIA:  GUJARAT,21.211,70.533,10.0,5.0,,,,,,34.0,1.0,,3.0,,,3000.0,4.0,,,,,34.0,1.0,,3.0,,,3000.0,4.0,32.7,10.7,0.0
,2011,10,21,17.0,57.0,16.1,5439.0,,KERMADEC ISLANDS,-28.993,-176.238,33.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
