Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2011-10-20,0.0,0.0,INDIA:  GUJARAT,21.211,70.533,10.0,5.0,0.0,0.0,34.0,32.7,10.7,0.0
2011-10-21,5439.0,0.0,KERMADEC ISLANDS,-28.993,-176.238,33.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,"TURKEY:  ERCIS, VAN",38.722,43.513,16.0,7.1,0.0,604.0,2608.0,14.8,8.0,0.0
2011-10-28,0.0,0.0,PERU:  SAN VICENTE DE CANETE,-14.438,-75.966,24.0,6.9,0.0,1.0,103.0,25.3,17.4,0.0
2011-10-29,0.0,0.0,INDIA:  SIKKIM,27.449,88.684,10.0,3.5,0.0,2.0,0.0,17.1,5.8,1.4
2011-10-29,0.0,0.0,ECUADOR:  POMASQUI,-0.13,-78.37,3.0,4.0,0.0,0.0,0.0,19.5,8.4,17.7
2011-11-01,0.0,0.0,CHINA:  XINJIANG PROVINCE,43.648,82.437,28.0,5.6,0.0,0.0,0.0,2.7,11.4,0.3
2011-11-06,0.0,0.0,OKLAHOMA:  SPARKS,35.532,-96.765,5.0,5.7,8.0,0.0,2.0,22.4,24.4,0.2
2011-11-07,0.0,0.0,PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,7.904,125.185,46.0,5.0,0.0,0.0,31.0,29.5,4.0,16.2
2011-11-08,0.0,0.0,"OKLAHOMA:  SPARKS, PRAGUE",35.531,-96.788,5.0,5.0,0.0,0.0,0.0,20.1,25.6,51.0
2011-11-09,0.0,0.0,TURKEY:  VAN,38.429,43.229,5.0,5.7,0.0,40.0,0.0,5.2,16.9,0.0
2011-11-21,0.0,0.0,INDIA:  ASSAM,24.955,95.236,114.0,5.8,0.0,0.0,0.0,28.7,4.3,0.0
2011-11-24,0.0,0.0,EL SALVADOR-GUATEMALA,13.297,-87.898,43.0,5.1,0.0,0.0,0.0,31.7,14.3,0.0
2011-12-01,0.0,0.0,"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",38.31,76.888,32.0,5.3,0.0,0.0,0.0,5.5,9.3,0.0
2011-12-03,0.0,0.0,NEW ZEALAND:  COOK STRAIT,-41.364,174.315,56.0,5.3,0.0,0.0,0.0,20.2,23.5,3.1
2011-12-11,0.0,0.0,MEXICO:  GUERRERO,17.844,-99.963,54.0,6.4,0.0,2.0,5.0,28.1,8.8,0.0
2011-12-23,0.0,0.0,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-43.49,172.8,10.0,5.8,0.0,0.0,60.0,17.7,12.8,0.0
2011-12-27,0.0,0.0,RUSSIA:  KYZYL,51.842,95.911,15.0,6.7,0.0,0.0,0.0,-20.1,8.1,0.0
2012-01-19,0.0,0.0,IRAN:  KHORASAN-E-RAZAVI,36.288,58.835,8.0,5.3,0.0,0.0,238.0,4.2,6.0,0.0
2012-01-30,0.0,0.0,PERU:  ICA,-14.168,-75.635,43.0,6.4,0.0,0.0,119.0,28.1,16.0,0.2
2012-02-02,5442.0,0.0,VANUATU ISLANDS,-17.827,167.133,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-06,0.0,0.0,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,11.0,6.7,0.0,51.0,112.0,26.9,18.4,28.1
2012-02-26,0.0,0.0,TAIWAN:  PINGTUNG,22.661,120.891,28.0,5.9,0.0,0.0,0.0,16.4,14.3,7.4
2012-02-27,0.0,0.0,IRAN:  RAVAR,31.428,56.778,10.0,5.2,0.0,0.0,6.0,14.4,10.7,0.0
2012-03-05,0.0,0.0,PHILIPPINES:  MASBATE ISLAND,12.354,123.7,37.0,5.6,0.0,0.0,10.0,29.8,21.4,1.7
2012-03-08,0.0,0.0,CHINA: XINJIANG,39.383,81.307,38.0,5.9,0.0,0.0,36641.0,9.1,12.2,0.0
