id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
hv73243407,1.72000003,"Island of Hawaii, Hawaii",2022-11-29 01:44:39.410,2022-11-29 01:47:45.520,,,,automatic,0,46,hv,73243407,",hv73243407,",",hv,",",origin,phase-data,",24.0,0.0587,0.25999999,122.0,md,earthquake,-155.539505004883,19.4776668548584,10.0,16
ci40382104,1.23,"4km S of Redlands, CA",2022-11-29 01:39:12.990,2022-11-29 22:36:48.670,,,,reviewed,0,23,ci,40382104,",ci40382104,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",33.0,0.05659,0.12,87.0,ml,earthquake,-117.1771667,34.0178333,10.0,16
hv73243367,2.6,"Island of Hawaii, Hawaii",2022-11-29 01:26:08.570,2022-11-29 21:13:40.040,,,,reviewed,0,104,hv,73243367,",us7000it57,hv73243367,",",us,hv,",",origin,phase-data,",16.0,0.0587,0.21,63.0,md,earthquake,-155.5635,19.5088333333333,10.0,16
av91723371,0.31,"72 km SW of Skwentna, Alaska",2022-11-29 01:25:58.120,2022-11-30 04:35:04.090,,,,reviewed,0,1,av,91723371,",av91723371,",",av,",",origin,phase-data,",5.0,0.0587,0.14,180.0,ml,earthquake,-152.364,61.5263333333333,10.0,16
pr71384433,2.13,"0 km ENE of Palmarejo, Puerto Rico",2022-11-29 01:25:17.110,2022-11-29 01:45:48.530,,,,reviewed,0,70,pr,71384433,",pr71384433,",",pr,",",origin,phase-data,",11.0,0.008427,0.08,106.0,md,earthquake,-67.072,18.0421666666667,14.87,16
hv73243362,2.21,"24 km WNW of Volcano, Hawaii",2022-11-29 01:25:12.770,2022-11-29 02:00:40.720,,,,reviewed,0,75,hv,73243362,",hv73243362,",",hv,",",origin,phase-data,",34.0,0.0587,0.15,64.0,md,earthquake,-155.460666666667,19.4983333333333,10.0,16
nc73812576,0.17,"3km NW of The Geysers, CA",2022-11-29 01:20:42.720,2022-11-29 07:59:16.494,,,,reviewed,0,0,nc,73812576,",nc73812576,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.009934,0.02,75.0,md,earthquake,-122.7756667,38.7958333,10.0,16
hv73243352,2.1,"23 km WNW of Volcano, Hawaii",2022-11-29 01:20:40.110,2022-11-29 02:38:31.340,,,,reviewed,0,68,hv,73243352,",hv73243352,",",hv,",",origin,phase-data,",21.0,0.0587,0.21,110.0,md,earthquake,-155.452333333333,19.5025,10.0,16
nn00852223,-0.2,"46 km WNW of Indian Springs, Nevada",2022-11-29 01:18:03.200,2022-11-29 15:32:37.949,,,,reviewed,0,0,nn,00852223,",nn00852223,",",nn,",",origin,phase-data,",4.0,0.018,0.0508,138.23,ml,earthquake,-116.1501,36.7282,10.0,16
ak022faqnpy4,1.4,"50 km SSW of Cantwell, Alaska",2022-11-29 01:17:35.329,2022-11-29 01:19:15.086,,,,automatic,0,30,ak,022faqnpy4,",ak022faqnpy4,",",ak,",",origin,phase-data,",1.0,0.0587,0.48,110.0,ml,earthquake,-149.3749,62.977,84.8,16
hv73243347,2.1400001,"13 km WNW of Volcano, Hawaii",2022-11-29 01:16:34.100,2022-11-29 01:19:46.230,,,,automatic,0,70,hv,73243347,",hv73243347,",",hv,",",origin,phase-data,",9.0,0.0587,0.129999995,180.0,md,earthquake,-155.362670898438,19.4753341674805,20.2099990844727,16
hv73243342,2.47,"31 km NNW of P?hala, Hawaii",2022-11-29 01:16:28.280,2022-11-29 01:22:00.270,,,,automatic,0,94,hv,73243342,",hv73243342,",",hv,",",origin,phase-data,",30.0,0.0587,0.25999999,63.0,ml,earthquake,-155.553161621094,19.4811668395996,10.0,16
av91723366,1.48,"93 km W of Adak, Alaska",2022-11-29 01:05:42.050,2022-11-30 04:31:37.140,,,,reviewed,0,34,av,91723366,",av91723366,",",av,",",origin,phase-data,",6.0,0.0587,0.25,112.0,ml,earthquake,-177.987333333333,51.8638333333333,10.0,16
