"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2010 <= Year >= 2022""]"																																													
	2018	7	16				3	9				0	"SPAIN"	"BALEARIC ISLANDS"			0.75	3				1	1						1					1	1						1				
	2018	7	28	22	48	14	3	1	6.4			0	"INDONESIA"	"BALI SEA"	-8.24	116.508	2.5	2											1		1			17	1			355	3		3	5448	4		3
	2018	8	5	11	47	3	4	1	6.9			0	"INDONESIA"	"BALI SEA"	-8.258	116.438	2	6																560	3			7733	4	509	4		3	83392	4
	2018	8	19	0	20	7	4	1	8.2			0	"FIJI"	"FIJI ISLANDS"	-18.113	-178.153		0																											
	2018	8	19	4	11	4	3	1	6.3			0	"INDONESIA"	"BALI SEA"	-8.337	116.599		0																2	1			1	1		2			1705	4
	2018	8	21	21	31	6	2	1	7.3			0	"VENEZUELA"	"SUCRE"	10.773	-62.902		1																5	1						2				3
	2018	8	29	3	51	1	4	1	7.1			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.03	170.126	0.27	7																											
	2018	9	28	10	2	25	4	3	7.5			2	"INDONESIA"	"SULAWESI"	-0.256	119.846	10.73	291				4340	4	667	3	10679	4	1500	4	3673	4	39191	4	4340	4	667	3	10679	4	1500	4	3673	4	39191	4
	2018	10	16	1	3	58	4	1	6.5			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.743	169.522	0.05	1																											
	2018	10	25	22	55	3	4	1	6.8			0	"GREECE"	"IONIAN SEA"	37.52	20.557	0.5	9																				3	1		2			120	3
	2018	12	5	4	18	42	4	1	7.5			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.95	169.427	2	34											1				1								1				1
	2018	12	11	4	48		0	8				0	"RUSSIA"	"BUREYA, FAR EASTERN RUSSIA"	50.559	131.472	90	49																											
	2018	12	22	13	55		4	7		7264		2	"INDONESIA"	"KRAKATAU"	-6.102	105.423	85	410				437	3	10	1	31943	4	250	4		3	2844	4	437	3	10	1	31943	4	250	4		3	2844	4
