"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2010 <= Year >= 2022""]"																																						
	2011	9	7	17	58	18.7			"INDIA:  DELHI"	28.724	77.189	10	4.3						1	1											1	1		1				
	2011	9	18	12	40	51.8			"INDIA:  SIKKIM"	27.73	88.155	50	6.9		111	3			177	3	22.3	3	6000	4	6000	4	111	3			177	3	22.3	3		4	6000	4
	2011	9	19	18	33	55.8			"GUATEMALA:  CUILAPA SANTA ROSA"	14.186	-90.238	9	5.6		1	1						1					1	1						1				
	2011	10	20	17	18	34.1			"INDIA:  GUJARAT"	21.211	70.533	10	5						34	1		3			3000	4					34	1		3			3000	4
	2011	10	21	17	57	16.1	5439		"KERMADEC ISLANDS"	-28.993	-176.238	33	7.4																									
	2011	10	23	10	41	22.9			"TURKEY:  ERCIS, VAN"	38.722	43.513	16	7.1		604	3			2608	4	1500	4	5739	4	4882	4	604	3			2608	4	1500	4	5739	4	4882	4
	2011	10	28	18	54	34			"PERU:  SAN VICENTE DE CANETE"	-14.438	-75.966	24	6.9		1	1			103	3		2	134	3			1	1			103	2		2	134	3		
	2011	10	29	0	43	55.1			"INDIA:  SIKKIM"	27.449	88.684	10	3.5		2	1											2	1										
	2011	10	29	13	50	49			"ECUADOR:  POMASQUI"	-0.13	-78.37	3	4									1				2								1				2
	2011	11	1	0	21	28			"CHINA:  XINJIANG PROVINCE"	43.648	82.437	28	5.6								10.5	3	2453	4		3							10.5	3	2453	2		3
	2011	11	6	3	53	10			"OKLAHOMA:  SPARKS"	35.532	-96.765	5	5.7	8					2	1		2	14	1		3					2	1		2	14	1		3
	2011	11	7	9	43	15.9			"PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE"	7.904	125.185	46	5						31	1		1			23	1					31	1		1			23	1
	2011	11	8	2	46	57			"OKLAHOMA:  SPARKS, PRAGUE"	35.531	-96.788	5	5									1				2								1				2
	2011	11	9	19	23	33.2			"TURKEY:  VAN"	38.429	43.229	5	5.7		40	1						1		1			40	1						1		1		
	2011	11	21	3	15	42.2			"INDIA:  ASSAM"	24.955	95.236	114	5.8									1												1				
	2011	11	24	21	13	15.6			"EL SALVADOR-GUATEMALA"	13.297	-87.898	43	5.1									1			80	2								1			80	2
	2011	12	1	12	48	17.7			"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI"	38.31	76.888	32	5.3									2			300	3								2			300	3
	2011	12	3	6	19	10.4			"NEW ZEALAND:  COOK STRAIT"	-41.364	174.315	56	5.3									1				2								1				2
	2011	12	11	1	47	25.9			"MEXICO:  GUERRERO"	17.844	-99.963	54	6.4		2	1			5	1		2			70	2	2	1			5	1		2			70	2
	2011	12	23	0	58	38.3			"NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH"	-43.49	172.8	10	5.8						60	2		1				1					60	2		1				1
	2011	12	27	15	21	56.8			"RUSSIA:  KYZYL"	51.842	95.911	15	6.7									2				3								2				3
	2012	1	19	12	35	51.3			"IRAN:  KHORASAN-E-RAZAVI"	36.288	58.835	8	5.3						238	3		1				2					238	3		1				2
	2012	1	30	5	11	0.9			"PERU:  ICA"	-14.168	-75.635	43	6.4						119	3		1				1					119	3		1				1
	2012	2	2	13	34	40.6	5442		"VANUATU ISLANDS"	-17.827	167.133	23	7																									
	2012	2	6	3	49	12.5			"PHILIPPINES:  NEGROS ORIENTAL PROVINCE"	9.999	123.206	11	6.7		51	2	62	2	112	3	9	3	15000	4			51	2	62	2	112	3	9	3	15000	4		
	2012	2	26	2	35	0.5			"TAIWAN:  PINGTUNG"	22.661	120.891	28	5.9									1												1				
	2012	2	27	18	48	55.3			"IRAN:  RAVAR"	31.428	56.778	10	5.2						6	1		1				2					6	1		1				2
	2012	3	5	23	6	30.8			"PHILIPPINES:  MASBATE ISLAND"	12.354	123.7	37	5.6						10	1		1	1	1		2					10	1		1	1	1		2
	2012	3	8	22	50	8.4			"CHINA: XINJIANG"	39.383	81.307	38	5.9						36641	4	84	4				3					36641	4	84	4				3
	2012	3	9	7	9	50.9	5706		"VANUATU ISLANDS"	-19.125	169.613	16	6.7																									
	2012	3	14	9	8	35.1	5446		"JAPAN:  HOKKAIDO"	40.887	144.944	12	6.9																									
	2012	3	16	7	58	2.5			"PHILIPPINES:  SURIGAO"	10.037	125.633	18	5.8						55	2		1	4	1		1					55	2		1	4	1		1
	2012	3	20	18	2	47.4	5447		"MEXICO:  GUERRERO, OAXACA"	16.493	-98.231	20	7.4	8	2	1			13	1	600	4	800	3			2	1			13	1	600	4	800	3		
	2012	3	25	22	37	6			"CHILE:  PARRAL, SANTIAGO"	-35.2	-72.217	41	7.2		1	1			14	1		1				2	1	1			14	1		1				2
	2012	4	11	8	38	36.7	5449		"INDONESIA:  N SUMATRA:  OFF WEST COAST"	2.327	93.063	20	8.6		10	1			12	1		1				2	10	1			12	1		1				2
	2012	4	11	10	43	10.8	5450		"INDONESIA:  N SUMATRA:  OFF WEST COAST"	0.802	92.463	25	8.2																									
	2012	4	14	22	5	26.4	5451		"VANUATU ISLANDS"	-18.972	168.741	11	6.3																									
	2012	4	17	3	50	15.6			"CHILE:  VALPARAISO"	-32.625	-71.365	29	6.7		2	1						1				2	2	1						1				2
	2012	5	3	10	9	35.6			"IRAN:  MOURMOURI, ABDANAN, DEHLORAN"	32.747	47.726	10	5.4						8	1		2				3					8	1		2				3
	2012	5	7	4	40	27.7			"AZERBAIJAN:  ZAGATALA"	41.549	46.789	11	5.7						50	1		3	3100	4		1					50	1		3	3100	4		1
	2012	5	11	12	41	35.3			"INDIA:  ASSAM:  KAMRUP, GUWAHATI"	26.175	92.889	43	5.4						2	1		1				2					2	1		1				2
	2012	5	12	23	48	43.5			"TAJIKISTAN"	38.612	70.354	10	5.7		1	1						2		3			1	1						2		3		
	2012	5	14	10	0	40.2			"CHILE:  ARICA; PERU:  TACNA"	-17.678	-69.591	10	6.3									1												1				
	2012	5	19	13	41	21.2			"BRAZIL:  MONTES CLAROS"	-16.764	-43.999	10	4.1									1			6	1								1			6	1
	2012	5	20	2	3	52			"ITALY:  EMILIA ROMAGNA:  MIRANDOLA"	44.89	11.23	6	6.1		7	1				1		4				3	7	1			50	1		4				3
	2012	5	20	13	18	2			"ITALY:  SANT'AGOSTINO"	44.831	11.49	5	5.1									1												1				
	2012	5	22	0	0	32.7			"BULGARIA: PERNIK"	42.645	22.968	10	5.6	7								2			90	2								2			90	2
	2012	5	29	7	0	3			"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO"	44.851	11.086	10	5.9		17	1			350	3	15800	4					17	1			350	3	15800	4				
	2012	6	4	11	18	13.4			"INDONESIA:  JAVA"	-7.692	106.371	50	5.8						2	1		1			23	1					2	1		1			23	1
	2012	6	10	12	44	16.5			"TURKEY:  FETHIYE; GREECE:  RHODES"	36.42	28.88	35	6.1						6	1		1				2					6	1		1				2
	2012	6	11	5	29	11.5			"AFGHANISTAN:  HINDU KUSH"	36.023	69.351	16	5.8		75	2			13	1		2	143	3	593	3	75	2			13	1		2	143	3	593	3
	2012	6	14	5	52	53.6			"TURKEY:  SIRNAK"	37.294	42.325	5	5.3						23	1		1			25	1					23	1		1			25	1
	2012	6	24	7	59	34.8			"CHINA:  YUNNAN AND SICHUAN PROVINCES"	27.767	100.781	10	5.5		4	1			394	3		4	6768	4			4	1			394	3		4	6768	4		
	2012	6	29	21	7	33.8			"CHINA:  XINJIANG PROVINCE"	43.433	84.7	18	6.3						52	2	68	4			30000	4					52	2	68	4			30000	4
	2012	7	20	12	11	52			"CHINA:  JIANGSU PROVINCE"	32.978	119.593	10	4.9		1	1			2	1		1					1	1			2	1		1				
	2012	7	25	0	27	45.2			"INDONESIA: BANDA ACEH"	2.707	96.045	22	6.5		1	1						1			20	1	1	1						1			20	1
	2012	7	25	11	20	27			"SOLOMON ISLANDS: GUADALCANAL"	-9.694	159.727	20	6.4									1	26	1										1	26	1		
